age;plot;genus;species;spcode;Abund.n;biomass;basal.area;SLA;LDMC;LPC;CN;d15N;d13C;plot total abund;total plot biomass;total plot basal area
40;9;Tetracera;volubilis;tetvol;2;5.071.842.707;217.035;2.169.031.845;0.359270861;0.098177906;2.145.891.913;-0.402234415;-3.106.882.935;153;1.234.425.551;3.102.169.613
40;9;Thouinidium;decandrum;thodec;1;1.048.466.198;4.921.875;;;;;;;153;1.234.425.551;3.102.169.613
60;10;Acacia;collinsii;acacol;1;2.220.342.403;9.646.875;;;;;;;248;1.083.038.942;300.463.695
60;10;Acosmium;panamense;acopan;2;6.062.989.003;25.452;2.970.769;;0.084494;1.291.267.194;;;248;1.083.038.942;300.463.695
60;10;Alibertia ;edulis;aliedu;2;4.908.668.128;20.979;1.265.703.198;0.459742948;0.049039196;2.419.614.711;1.657.886.848;-3.316.398.102;248;1.083.038.942;300.463.695
60;10;Allophyllusc;occidentalisc;allocc;7;3.432.016.389;134.497.125;2.099.437.764;0.359100228;0.162861202;1.178.228.473;0.632992104;-3.242.396.408;248;1.083.038.942;300.463.695
60;10;Annona;purpurea ;annpur;1;1.251.303.113;45.486;3.639.125.683;;0.103011769;18.7;-0.1;-31.5;248;1.083.038.942;300.463.695
60;10;Annona;reticulata;annret;9;1.457.805.306;4.952.745;3.157.702;;0.153519;1.260.584.139;;;248;1.083.038.942;300.463.695
60;10;Piper;;piper;2;3.148.898.107;14.175;;;;;;;248;1.083.038.942;300.463.695
60;10;Tetracera;volubilis;tetvol;12;4.734.583.367;190.953;2.140.071.948;0.366752337;0.109598959;1.657.052.126;0.693435029;-3.286.169.678;248;1.083.038.942;300.463.695
60;10;Tabebuea;ochracea;taboch;39;4.837.130.268;1.707.843.375;2.504.885.737;0.380445551;0.156477776;1.138.577.505;0.608653508;-3.118.511.681;248;1.083.038.942;300.463.695
60;10;Brosimum ;alicastrum;broali;2;2.375.935.297;86.506.875;9.467.005;;0.137768;155.931.536;;;248;1.083.038.942;300.463.695
60;10;Bursera;simaruba;bursim;2;3.095.513.214;106.162.875;1.369.189;;0.114525;195.800.101;;;248;1.083.038.942;300.463.695
60;10;Casearia;nitida;casnit;2;7.402.615.948;3.050.775;1.828.060.425;0.333676846;0.128382657;1.630.502.496;317.633.646;-3.051.458.839;248;1.083.038.942;300.463.695
60;10;Casearia;sylvestris ;cassyl;25;2.501.903.067;896.923.125;1.870.259.948;0.372758373;0.082613197;1.564.706.476;1.753.426.299;-3.127.154.022;248;1.083.038.942;300.463.695
60;10;Cecropia;peltata;cecpel;1;5.043.722.941;1.587.915;;;;;;;248;1.083.038.942;300.463.695
60;10;Chomelia;spinosa;chospi;1;1.818.162.373;8.064;;;;;;;248;1.083.038.942;300.463.695
60;10;Cordia;panamensis;corpan;16;3.185.036.781;105.696.675;1.446.944;;0.105568;1.607.364.117;;;248;1.083.038.942;300.463.695
60;10;Cupania;guatemalensis;cupgua;8;3.506.999.554;140.679;1.607.786.836;0.470604537;0.111535669;185.430.729;1.801.078.484;-3.204.766.899;248;1.083.038.942;300.463.695
60;10;Enterolobium;cyclocarpum;entcyc;2;1.601.881.856;3.791.379.375;;;;;;;248;1.083.038.942;300.463.695
60;10;Guettarda;macrosperma ;guamac;2;8.352.906.711;33.744.375;;;;;;;248;1.083.038.942;300.463.695
60;10;Guazuma;ulmifolia;guaulm;3;9.904.596.815;2.513.471.625;;;;;;;248;1.083.038.942;300.463.695
